player_id,league,sport,first_name,last_name
525,NFL,FOOTBALL,Morgan,Cox
7585,NFL,FOOTBALL,Davis,Mills
3284,NFL,FOOTBALL,Deon,Bush
12399,NFL,FOOTBALL,Caleb,Chapman
2603,NFL,FOOTBALL,Shane,Wynn
12221,NFL,FOOTBALL,Andre,Carter
1632,NFL,FOOTBALL,Deveron,Carr
3984,NFL,FOOTBALL,Taylor,Symmank
1084,NFL,FOOTBALL,Trevin,Wade
708,NFL,FOOTBALL,Frank,Zombo
8025,NFL,FOOTBALL,Adam,Prentice
11406,NFL,FOOTBALL,Corey,Mayfield
7787,NFL,FOOTBALL,Damar,Hamlin
8931,NFL,FOOTBALL,Josh,Ali
5376,NFL,FOOTBALL,Jack,Cichy
11434,NFL,FOOTBALL,Seth,Benson
2052,NFL,FOOTBALL,Tevin,Reese
7700,NFL,FOOTBALL,Joshua,Kaindoh
8633,NFL,FOOTBALL,Stephon,Robinson
5436,NFL,FOOTBALL,Emmanuel,Moseley
2359,NFL,FOOTBALL,Ameer,Abdullah
6225,NFL,FOOTBALL,Kahzin,Daniels
1743,NFL,FOOTBALL,Brittan,Golden
1630,NFL,FOOTBALL,Darius,Eubanks
3489,NFL,FOOTBALL,Keith,Lumpkin
103,NFL,FOOTBALL,Matt,Forte
6305,NFL,FOOTBALL,Austin,Cutting
788,NFL,FOOTBALL,Dion,Lewis
5043,NFL,FOOTBALL,Nathan,Shepherd
8241,NFL,FOOTBALL,Anthony,Brown
5854,NFL,FOOTBALL,Drew,Lock
5021,NFL,FOOTBALL,Lorenzo,Carter
7519,NFL,FOOTBALL,Aaron,Patrick
2936,NFL,FOOTBALL,Rasheed,Williams
9,NFL,FOOTBALL,Mike,Scifres
4594,NFL,FOOTBALL,Alex,Barrett
3211,NFL,FOOTBALL,Paul,Perkins
7593,NFL,FOOTBALL,Trey,Sermon
3731,NFL,FOOTBALL,Eric,Lee
6489,NFL,FOOTBALL,Taryn,Christion
11855,NFL,FOOTBALL,Amari,Gainer
8391,NFL,FOOTBALL,Dominique,Robinson
7614,NFL,FOOTBALL,Darius,Clark
6966,NFL,FOOTBALL,Javon,Leake
1209,NFL,FOOTBALL,Robert,Blanton
4548,NFL,FOOTBALL,Joel,Bouagnon
